PLID,PLListID,PLPartID,PLItem,PLQty,PLRefMemo,PLRefText,PLAssyOrder,PLAssySpec,PLMFRPNID,PLMFRID,PLSUID,PLLNKID
1,1,4,1,"35",,,,,,,,
2,1,5,1,"1",,,,,,,,
3,1,6,1,"1",,,,,,,,
4,1,2,1,"1",,,,,,,,
5,2,7,10,"1","R1",,,,,,,
6,2,8,9,"1","R2",,,,,,,
7,2,9,8,"1","C1",,,,,,,
8,2,10,7,"1","C2",,,,,,,
9,2,11,6,"1","C3",,,,,,,
10,2,12,5,"1","D1",,,,,,,
11,2,13,4,"1","VC1",,,,,,,
12,2,14,3,"1","J1",,,,,,,
13,2,15,2,"1","PCB",,,,,,,
14,2,3,1,"1","L1",,,,,,,
15,3,16,1,"846",,,,,,,,
16,3,17,2,"0.5",,,,,,,,
17,3,18,3,"2",,,,,,,,
