serial_number,part_number,description,version,status
AW123456,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,DESTROYED
AW123457,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,DESTROYED
AW123458,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,DESTROYED
AW123459,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,DESTROYED
AD123459,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,DESTROYED
AW123460,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,DESTROYED
AW123461,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123462,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123463,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123460,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123464,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123465,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123466,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123467,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123461,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123468,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123469,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123470,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
AW123471,10000002,"ASSY,MKTG,AIRCRAFT WIRELESS",1,ACTIVE
