LNKID,LNKSUID,LNKMFRPNID,LNKMFRID,LNKUNID,LNKPNID,LNKToPNID,LNKUse,LNKLeadtime,LNKChoice,LNKVendorPN,LNKVendorDesc,LNKAtQty,LNKRFQDate,LNKMinIncrement,LNKCurrentCost,LNKSetupCost,LNKRoHS,LNKRoHSDoc,LNKRoHSNote
1,3,1,1,23,4,0,1,,0,"C2119W-100-ND","WHITE 18AWG HOOKUP WIRE SOLID",1.00000000e+00,,0.00000000e+00,2.3420000000000002e+01,0.0000000000000000e+00,0,,
2,5,,,1,5,0,1,,0,"LB25C","Crystal Earpiece, Hi-z, 1m lead, 3.5mm plug",1.00000000e+00,,0.00000000e+00,3.3431999999999999e+00,0.0000000000000000e+00,0,,
3,9,,,1,2,0,1,,0,"SCC:20000003","PCA,AIRCRAFT WIRELESS",1.00000000e+01,,0.00000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0,,
4,3,2,2,1,7,0,1,,0,"5063JD5M600F12AF5-ND","RES 5.60MEG OHM MTLFLM.40W 1% TR",5.00000000e+03,,0.00000000e+00,7.4999999999999997e-02,0.0000000000000000e+00,0,,
5,3,3,2,1,8,0,1,,0,"BC2.00MXTR-ND","RES 2.00M OHM MTL FILM .40W 1% T",5.00000000e+03,,0.00000000e+00,6.1879999999999998e-02,0.0000000000000000e+00,0,,
6,3,4,3,1,9,0,1,,0,"399-4233-ND","CAP 3300PF 100V 10% CER RADIAL",5.00000000e+03,,0.00000000e+00,5.1479999999999998e-02,0.0000000000000000e+00,0,,
7,3,5,4,1,10,0,1,,0,"SR151A330KAA-ND","CAP CER 33PF 100V 10% NP0 RADIAL",1.00000000e+03,,0.00000000e+00,1.1375000000000000e-01,0.0000000000000000e+00,0,,
8,3,6,5,1,11,0,1,,0,"P965-ND","CAP ELECT 10UF 16V KK RADIAL",1.00000000e+03,,0.00000000e+00,5.8999999999999997e-02,0.0000000000000000e+00,0,,
9,7,7,6,1,12,0,1,,0,"97K6768","SEMELAB - OA95/05 - DIODE, GERMANIUM, DO-7",1.00000000e+03,,0.00000000e+00,5.6699999999999995e-01,0.0000000000000000e+00,0,,
10,3,8,7,1,13,0,1,,0,"GMC30600-ND","CAP TRIM 56-250PF TOP ADJUST PCB",1.00000000e+00,,0.00000000e+00,1.1740000000000000e+01,0.0000000000000000e+00,0,,
11,3,9,8,1,14,0,1,,0,"CP-3536NG-ND","CONN AUDIO JACK 3.5MM MONO",5.00000000e+02,,0.00000000e+00,2.3240000000000000e-01,0.0000000000000000e+00,0,,
12,1,,9,20,15,0,1,,0,"SCC:20000002","PCB,AIRCRAFT WIRELESS",1.00000000e+00,,0.00000000e+00,3.5410000000000002e+02,0.0000000000000000e+00,0,,
13,7,10,10,24,16,0,1,,0,"36F779","BELDEN - 8085 - Hook-Up Wire",1.00000000e+00,,0.00000000e+00,1.5483000000000001e+02,0.0000000000000000e+00,0,,
14,2,,,1,17,0,1,,0,"R-025400-61","FERRITE ROD 1/4-INCH X 4IN MATL=61",1.00000000e+00,,0.00000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0,,
15,3,11,11,22,18,0,1,,0,"3M35-BL-ND","TAPE ELECTRICAL VINYL 3/4"" BLUE",1.00000000e+00,,0.00000000e+00,5.6200000000000001e+00,0.0000000000000000e+00,0,,
