SUID,SUSupplier,SUAddress,SUCountry,SUPhone1,SUPhone2,SUFAX,SUWeb,SUContact1,SUContact2,SUDateLast,SUFollowup,SUNotes,SUCode,SUAccount,SUTerms,SUFedTaxID,SUStateTaxID,SUEMail1,SUEMail2,SUCurDedExRate,SUCurExRate,SUCURID,SUCurReverse,SUNoPhonePrefix
1,"AP Circuits","Unit 3, 1112-40th Avenue NE, Calgary, AB T2E 5T8, Canada","Canada","1-403-250-3406",,"1-403-250-3465","http://www.apcircuits.com","Sales",,,0,"Ftp: ftp://ftp.apcircuits.com. Tech Support 7am to 3pm (MTN)","APCKT","S0007","30DAY","20-1234578","12-134","staff@apcircuits.com",,0,0.0000000000000000e+00,1,0,0
2,"CWS ByteMark","353 West Grove Avenue, Orange, CA 92865, USA","USA","1-800-679-3184",,,"http://www.cwsbytemark.com","Sales",,,0,,"CWSBM","S0008","CREDITCARD","20-1234579","12-135","sales@cwsbytemark.com",,0,0.0000000000000000e+00,1,0,0
3,"Digi-Key","701 Brooks Avenue South, Thief River Falls, MN 56701, USA","USA","1-800-344-4539","1-218-681-6674","1-218-681-3380","http://www.digikey.com","Sales","Sales",,0,,"DIGIKEY","S0005","CREDITCARD","20-1234576","12-132",,,0,0.0000000000000000e+00,1,0,0
4,"Eagle Park Machinery","605 Central Avenue, Albany, New York 12206, USA","USA","1-518-438-5854",,,"http://en.wikipedia.org/wiki/Industrial_age","Frank Forker, Proprietor",,,0,"COTS mechanical equipment","EAGLE","S0001","45DAY","20-1234572","12-128","forker@eaglepark.com",,0,0.0000000000000000e+00,1,0,0
5,"Maplin","Brookfields Way, Manvers, Wath-upon-Dearne, Rotherham, South Yorkshire S63 5DL, Great Britain","Great Britain","011-44-0844-557-6000",,"011-44-0844-557-6001","http://www.maplin.co.uk","Sales",,,0,,"MAPLIN","S0004","CREDITCARD","20-1234575","12-131","sales@maplin.co.uk",,0,0.0000000000000000e+00,1,0,0
6,"Merton's Machine Shop","85 South Main Street, Barre, Vermont 05641, USA","USA","1-802-479-5345",,,"http://en.wikipedia.org/wiki/Machining","Thomas Merton, Proprietor",,,0,"Custom mechanical components","MERTON","S0003","45DAY","20-1234574","12-130","merton@mms.com",,0,0.0000000000000000e+00,1,0,0
7,"Newark","4801 N. Ravenswood, Chicago, IL 60640-4496, USA","USA","1-800-463-9275","1-800-639-2758","1-888-551-4801","http://www.newark.com","Sales & Service","Web Site Support",,0,,"NEWARK","S0006","CREDITCARD","20-1234577","12-133",,,0,0.0000000000000000e+00,1,0,0
8,"Shopton Hardware","6600 Germany Road, Shopton, NY 13054, USA","USA","1-315-363-6799",,,"http://en.wikipedia.org/wiki/Nuts_and_Bolts_%28general_relativity%29","Henry Harrison, Proprietor",,,0,"COTS mechanical fasteners","SHPTHW","S0002","30DAY","20-1234573","12-129","harrison@shoptonhw.com",,0,0.0000000000000000e+00,1,0,0
9,"Trilogy-Net","#8, 3320-14th Avenue NE, Calgary, Alberta T2A 6J4, Canada","Canada","1-403-219-8868",,"1-403-219-8860","http://www.trilogy-net.com/","Sales",,,0,,"TRLGYNT","S0009","30DAY","20-1234580","12-136","info@trilogy-net.com",,0,0.0000000000000000e+00,1,0,0
10,"Uline Canada","60 Hereford St., Brampton, ON L6Y-0N3, Canada","Canada","1-800-958-5463",,"1-800-295-5571","http://www.uline.ca",,,,0,,"ULINE","S0010","CREDITCARD","20-1234578","12-134","customer.service@uline.ca",,0,0.0000000000000000e+00,1,0,0
11,"Miracle Imprint","4019 - 4 Street S.E., Calgary T2G 2W4, AB, Canada","Canada","1-403-243-6306","1-877-369-9197","1-403-243-8029","http://www.miracleimprint.com/",,,,0,,"MIRACLE","S0011","30DAY","20-1234578","12-134","orders@miracleimprint.com",,0,0.0000000000000000e+00,1,0,0
