FILID,FILPNID,FILPNPartNumber,FILFilePath,FILFileName,FILView,FILNotes
1,3,,,"D:\vault\parts\20000001\20000001_WI-00_graphics.odg",0,"graphics used in WI-00"
4,15,,,"D:\vault\parts\20000002\20000002_QUO-00-APC-2004-12-23.pdf",0,"Quote"
9,1,,,"D:\vault\parts\10000001\10000001_WI-02.pdf",0,"Work Instruction - PDF"
10,1,,,"D:\vault\parts\10000001\10000001_PBS-02.odg",0,"Product Breakdown Structure - Source"
11,1,,,"D:\vault\parts\10000001\10000001_PBS-02.pdf",0,"Product Breakdown Structure - PDF"
12,1,,,"D:\vault\parts\10000001\10000001_WI-02.odt",0,"Work Instruction - Source"
13,16,,,"D:\vault\parts\90000001\Belden-8085.pdf",0,"Datasheet"
14,17,,,"D:\vault\parts\90000002\CWS-ByteMark-ferrite-datasheet.pdf",0,"Datasheet"
15,17,,,"D:\vault\parts\90000002\CWS-ByteMark-2009-12-04.pdf",0,"Quote"
16,17,,,"D:\vault\parts\90000002\CWS-ByteMark-ferrite-appnote.pdf",0,"App note"
17,18,,,"D:\vault\parts\90000003\Scotch-Vinyl-Electrical-Tape.pdf",0,"Datasheet"
18,18,,,"D:\vault\parts\90000003\MSDS-Scotch-Vinyl-Electrical-Tape-2007-01-05.pdf",0,"MSDS"
19,14,,,"D:\vault\parts\90000004\DS-CUI-MJ-3536NG.pdf",0,"Datasheet"
20,13,,,"D:\vault\parts\90000005\Sprague-Goodman-GM-Series.pdf",0,"Datasheet"
21,12,,,"D:\vault\parts\90000006\Magnatec-OA95.pdf",0,"Datasheet"
22,11,,,"D:\vault\parts\90000007\Panasonic-RadLead-KS.pdf",0,"Datasheet"
23,10,,,"D:\vault\parts\90000008\AVX-Radial-SkyCap.pdf",0,"Datasheet"
24,9,,,"D:\vault\parts\90000009\Kemet-Ceramic.pdf",0,"Datasheet"
25,8,,,"D:\vault\parts\90000010\Vishay-5063JD-Spacemiser.pdf",0,"Datasheet"
26,7,,,"D:\vault\parts\90000011\Vishay-5063JD-Spacemiser.pdf",0,"Datasheet"
27,5,,,"D:\vault\parts\90000012\Maplin-crystal-earph-LB25C.pdf",0,"Datasheet"
28,6,,,"D:\vault\parts\50000001\50000001_DSN-01.pdf",0,"Design Output - PDF"
29,6,,,"D:\vault\parts\50000001\50000001_DSN-01.odt",0,"Design Source"
30,3,,,"D:\vault\parts\20000001\20000001_WI-01.pdf",0,"Work Instruction - PDF"
