PODID,PODField,PODCaption,PODOrder,PODUse,PODNewLine,PODUseCaption,PODMode,PODOrderJOB,PODUseJOB,PODNewLineJOB,PODUseCaptionJOB
1,"POIHPart","InHouse P/N (always)",1,0,1,0,0,,0,0,0
2,"POIHPart","InHouse P/N (if not above)",2,1,1,1,0,,0,0,0
3,"PNTitle","Title",3,1,1,0,1,1,1,1,0
4,"PNDetail","Detail",4,1,0,0,1,2,1,1,0
5,"LNKVendorPN","Vendor P/N (always)",5,1,1,1,0,,0,0,0
6,"LNKVendorPN","Vendor P/N (if not above)",6,0,0,0,0,,0,0,0
7,"LNKVendorDesc","Vendor Desc",7,0,0,0,0,,0,0,0
8,"MFRMfrName","Mfr",8,1,1,1,0,,0,0,0
9,"MFRPNPart","Mfr P/N (always)",9,0,0,0,0,,0,0,0
10,"MFRPNPart","Mfr P/N (if not above)",10,1,0,1,0,,0,0,0
11,"PNUser1","User 1",11,1,1,1,1,3,1,1,1
12,"PNUser2","User 2",12,1,1,1,1,4,1,1,1
13,"PNUser3","User 3",13,1,1,1,1,5,1,1,1
14,"PNUser4","User 4",14,1,1,1,1,6,1,1,1
15,"PNUser5","User 5",15,1,1,1,1,7,1,1,1
16,"PNUser6","Stk Class",16,0,1,0,1,8,1,1,1
17,"PNUser7","User 7",17,0,1,0,1,9,1,1,1
18,"PNUser8","User 8",18,0,1,0,1,10,1,1,1
19,"PNUser9","Stk Loc",19,0,1,0,1,11,1,1,1
20,"PNUser10","Stk Bin",20,0,1,0,1,12,1,1,1
21,"Setting",,2,0,0,0,0,,0,0,0
22,"LNKRoHS","RoHS",21,1,1,1,0,,0,0,0
23,"LNKRoHSDoc","RoHS Doc",22,1,0,1,0,,0,0,0
24,"LNKRoHSNote","RoHS Note",23,1,1,1,0,,0,0,0
