Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
18,Default,fmason,bjenks,@0@,minor,have not tried,,General,2013-01-01,,,,public,2014-09-06,Make PCB corrections,assigned,open,
21,Default,fmason,fmason,@0@,minor,have not tried,,General,2013-01-04,,,,public,2014-09-05,Release field service kit,assigned,open,
20,Default,fmason,mdelazes,@0@,minor,have not tried,,General,2013-01-03,,,,public,2014-09-05,Reduce cost and improve quality,assigned,open,
19,Default,fmason,jsharp,@0@,minor,have not tried,,General,2013-01-02,,,,public,2014-09-05,Release marketing assembly,assigned,open,
17,Default,fmason,bjenks,@0@,minor,have not tried,,General,2012-12-31,,,,public,2014-09-05,Release prototype PCA,assigned,open,

number,name,description,project,type,corrective_action,cost,status,create_time
IR00001,Incorrect PCB layout,Connectivity of PCB-type inductor in layout is incorrect.,P09-001,PCB,YES,0,CLOSED,2013-01-02
IR00002,Difficult assembly procedure,Difficult to assemble and test PCA due to copper-side-up orientation. Orienting PCA component-side up allows for full access to components for debugging after assembly.,P09-001,ASSY,YES,0,CLOSED,2013-01-03

